time,cycles,branches,instructions,cache-reference,cache-misses,bus-cycles
2.948970419,25443982,2591588,18505140,1339329,477663,266239
2.959206334,23396968,2579877,12032194,1683935,471388,245016
2.969458902,23394810,2514028,12800348,1449229,428438,244757
2.979651418,24428006,2339805,11877905,1302013,465932,255446
2.989846921,23582279,3599052,17086301,2258104,287647,242309
3.000053033,26462016,3537841,19504324,1915626,452445,263632
3.010333333,24288280,1030686,4856665,741381,290726,242147
3.02060404,23136453,1384671,8147437,1521891,455575,241243
3.030895134,24289588,2810570,13743183,1588772,444196,253632
3.041197265,23299199,2786054,13082484,1423224,466583,243438
3.051440425,23368737,2277488,10719527,1484480,511299,244749
3.061703408,25543663,3077740,14894669,1494383,483965,267185
3.071979609,23402171,2139965,10256752,1466675,455319,244401
3.082250087,23385299,1451657,6748574,1034986,415261,246548
3.092592024,23681934,2636407,11355291,1398248,461966,250522
3.102775525,23601517,3752778,17386855,2274787,310069,242742
3.112999668,24098251,3223775,14665394,1892174,453252,242666
3.123329345,26559467,2873086,15689766,1373549,537874,265851
3.133616225,24323745,2371959,11698882,1785800,430204,242934
3.143843195,24868119,2647265,13905199,1466956,476004,249650
3.154112799,23788226,2583768,12008173,1405652,467111,239735
3.164436452,22924522,1996405,8151508,1434022,470283,238938
3.174713182,25333549,2832177,15106011,1479461,432780,265001
3.185023523,23499018,3001164,11349057,1340628,506263,245893
3.195292793,23464276,3316264,15349243,1808392,432742,244826
3.205469741,23942534,3173526,14806294,1723317,336086,251322
3.215654858,23232096,2476637,12540986,1378008,470351,243086
3.225955591,23424570,2646908,12320269,1488900,479142,245732
3.236230481,25791489,2331630,15010549,1559645,474954,270272
3.246438792,24105415,2631759,12266194,1747432,441665,244747
3.25674639,25339817,2968074,13454671,1524154,477628,255558
3.267038529,23580965,2941899,13600203,1379338,444154,246301
3.277357469,23517737,2409877,11544556,1696483,438713,245117
3.287647449,26182674,2227465,20721022,1248567,493665,274130
3.297954725,23493349,2798085,13072879,1974097,427922,245203
3.308142704,24996625,3914006,19659203,2266485,242424,253255
3.31835877,24709702,2966079,13797316,1515404,503388,242411
3.328634459,24156730,1394246,6440811,1055801,346990,243003
3.338917027,23471329,3307280,10362529,1205628,377598,246282
3.349219147,26929883,2681718,16431469,1460935,413745,279059
3.359506895,23504765,2703947,11508027,1757837,449632,245910
3.369816447,24643829,2734450,14030709,1432970,424877,256934
3.380065592,23369442,2532125,12306481,1468682,441222,245039
3.390385771,23603467,1901131,8313096,1288919,499842,246517
3.401029642,24236812,2173093,11350817,1533615,442507,252843
3.411204145,25489867,3596721,21035077,1353220,394007,266360
3.421405893,22728220,2613275,12220632,1901736,486223,237223
3.431705293,24049982,2646402,13940295,1337205,517219,251797
3.441983909,22798586,2760343,12803240,1521696,448219,238112
3.45226755,23326314,2229521,9818668,1572437,504208,239210
3.462559613,26656102,2752846,18001640,1511599,410453,270716
3.472808572,22669971,2410445,11435939,1439398,455545,235726
3.483104357,22873847,2202960,9703475,1647202,429854,239853
3.493429787,24773475,2279262,12068968,1179891,456368,258342
3.503691325,23786922,2689237,15337574,1893393,344454,240556
3.513861915,23811049,3593566,16609461,2104428,301889,237896
3.524118884,27266189,2553653,16694600,1368053,334138,270395
3.534457802,22789657,1242568,5884093,984375,396906,237809
3.544701022,22849302,2588565,11967015,1450791,390602,238842
3.555003341,24697461,2599611,14127368,1540984,496567,258128
3.565295235,23488970,2177195,10393765,1570809,442107,245396
3.575559512,23461351,2374620,11119135,1695750,429100,246147
3.585814946,26505760,2735910,20947111,1356605,465056,276788
3.59606897,23268978,1968817,9239785,1264049,456547,242595
3.606326422,23437402,1503810,9400460,1335403,376678,244974
3.61654038,24442700,2898003,15543259,1774630,348831,255599
3.626757146,23695449,3069024,13116935,1656058,544374,244329
3.636992763,24311908,2623723,12288971,1441686,501438,244033
3.647225856,27405317,3235874,20547359,1578240,463810,275110
3.657524366,24563048,2516316,11470054,1767900,465307,246651
3.667815356,25493624,2818990,14856978,1458324,465434,254811
3.67809059,23457433,2976730,14345723,1536004,470284,245298
3.688357624,23420392,2571324,12039108,1816707,536754,245329
3.698566091,27120477,2633027,16996565,1088295,475709,283283
3.708792309,23523241,3930091,16150067,1445069,377062,243489
3.718992956,25294781,3846770,19363271,2254815,298387,253424
3.729248887,24318975,1460365,8700914,1048015,396079,242022
3.739492177,23286412,2429901,10680453,1182519,420626,243649
3.749766835,23411337,2057845,9323201,1607608,453197,244955
3.760130871,28048007,2608059,18469178,1325144,348944,293667
3.770401865,23500096,2529289,10769923,1359748,426817,245170
3.780663535,23420155,1759729,8398194,1551621,387150,245682
3.790958541,24611569,2450047,12809309,1362535,413077,255826
3.801298233,23479636,2893707,12482920,1434381,468371,246555
3.811657313,23642497,2895105,11577786,1232237,422862,246602
3.821832144,47687052,5687088,64476719,2824568,279612,490794
3.832073699,44001093,4157343,28175016,2339287,800772,425711
3.842309676,24394618,5696130,26678689,1111345,423790,240044
3.852567454,24148207,8808316,35816760,613970,105306,241521
3.86281154,24457446,5460617,32523214,1494561,86909,245469
3.873095423,24518704,2301449,36786446,511406,107988,245094
3.883343805,24419481,274169,39541075,394969,91277,244904
3.893561447,24369959,270583,39718270,381799,94239,244304
3.903811896,24894672,278538,39684105,362939,100151,243637
3.914082413,24480005,226150,32765845,347097,116750,244718
3.924257738,24786306,270213,39667009,468559,76334,243183
3.934479381,25723423,289771,38600510,470204,108346,238623
3.944734067,26212710,280903,40317870,420270,127780,244351
3.955105303,25623165,290570,40743581,630410,209743,243711
3.965361848,24418291,5671696,26220687,2451622,194132,243867
3.975593136,24571241,3914954,17415175,2901211,125902,243175
3.985834283,25095147,2753699,12013901,2098144,111564,243201
3.996066556,25191911,2368096,10353915,2063138,116172,241906
4.006305907,25437763,4081396,13131150,2187867,179406,245046
4.016553762,26041726,3990341,17478985,3229600,70321,240242
4.026708213,29323269,4806074,18329385,3447161,78339,243312
4.036946334,29126704,2419689,10811116,2067510,305622,245098
4.047241334,25593159,2470811,10461502,1822520,294664,244129
4.057597243,24574864,2505218,11003583,1514985,308105,245538
4.067838372,24361579,2714451,12104771,2133292,318809,244574
4.078071711,24371249,2922053,12427296,2074684,333685,243787
4.08828916,24370552,2658615,11911942,2093024,278142,243910
4.098562472,24493164,2571614,12423919,2031334,324385,246221
4.109011051,24892816,2411168,10795113,1687224,494962,250124
4.119305495,24556563,2752059,13948528,2397983,228290,244262
4.12950623,24845249,1966246,9238977,2405351,219174,243411
4.139729264,24760686,3066373,13724882,2357780,433711,243525
4.149986473,24347030,2933975,11400239,1866438,425726,244137
4.16028379,24539333,3064634,13768452,2295063,325213,245276
4.17053877,24403202,3148988,14160194,2402773,346135,245371
4.180804915,24450732,2931251,13262554,2453142,406701,244929
4.191024994,24395136,3022037,13094289,2272695,382858,244384
4.20129964,24450887,2756624,12196707,2087221,378325,245012
4.211545398,24438889,2059896,9325060,1562220,471984,244994
4.221784289,24380637,3472435,13345881,2452632,228304,243854
4.231944332,25732888,2270183,10306586,1991822,316906,242212
4.242131867,25112157,1789545,8428361,1698435,364298,242884
4.252370263,24015020,1627950,7403703,1508780,313369,243378
4.262645363,23460105,2192729,9834566,1723885,380961,244776
4.272902744,23397610,2761833,12226422,2161058,386388,244899
4.283154021,23424768,2442375,11104919,1941250,374106,244493
4.320819019,89349822,10527323,46479289,7808350,1416277,898751
4.331004063,24313626,2584600,11715756,2082714,398697,243849
4.341207909,24373821,3089931,14352876,2272812,359705,242332
4.351484698,24464833,2455702,11153779,1965734,488866,245466
4.361776113,24493854,2557729,12665689,2164060,361321,244823
4.379829082,42989243,4877134,22106928,3856802,651372,431534
4.39011644,24544310,1832375,11909024,2267865,403271,245615
4.400349561,24397206,3411941,16091434,3025305,291226,244163
4.410759659,24801160,4107824,18596711,2901995,253701,248835
4.421063461,24863983,3692959,17882681,3187261,295221,245421
4.43125386,27103899,4168651,20565504,3613246,215274,244527
4.441628179,28981138,4044375,19108486,3294969,321744,248615
4.45211264,26945005,2330686,11201566,1621677,263115,245859
4.462449918,24651093,3971116,15956054,2421483,265028,246375
4.472709144,24426869,3305482,15941894,2873261,333304,245119
4.482960988,24425055,3454821,16482043,2908489,340673,244629
4.493177708,24341725,2968187,14911857,1033578,501571,244710
4.503406294,23915649,3105198,16672979,991314,504027,243669
4.513710245,24055419,4024937,42115021,629388,109214,245788
4.523968676,24415346,3085558,14155633,1809530,553114,243927
4.534205499,24416353,4035661,12312842,788231,380986,245080
4.544427092,24331416,4731251,20474838,682370,625824,243049
4.554886199,24396223,1589661,5961232,861343,709989,249652
4.565177572,23480005,2345670,10962044,1824425,517930,245418
4.575464646,23528409,3043241,14328631,1392596,500798,245666
